PID,PROLIFIC_PID,title,organisation,description,years,experience,division,ONET,ONET_13_text,ONET_14_text,ONET_15_text,TaskRank_1,TaskRank_2,TaskRank_3,TaskRank_4,TaskRank_5,TaskRank_6,TaskRank_7,TaskRank_8,TaskRank_9,TaskRank_10,TaskRank_11,TaskRank_12,TaskRank_13,TaskRank_14,TaskRank_15,NumberHours_1,NumberHours_2,NumberHours_3,NumberHours_4,NumberHours_5,NumberHours_6,NumberHours_7,NumberHours_8,NumberHours_9,NumberHours_10,NumberHours_11,NumberHours_12,NumberHours_13,NumberHours_14,NumberHours_15,TaskPhysical_1,TaskPhysical_2,TaskPhysical_3,TaskPhysical_4,TaskPhysical_5,TaskPhysical_6,TaskPhysical_7,TaskPhysical_8,TaskPhysical_9,TaskPhysical_10,TaskPhysical_11,TaskPhysical_12,TaskPhysical_13,TaskPhysical_14,TaskPhysical_15,TaskSocial_1,TaskSocial_2,TaskSocial_3,TaskSocial_4,TaskSocial_5,TaskSocial_6,TaskSocial_7,TaskSocial_8,TaskSocial_9,TaskSocial_10,TaskSocial_11,TaskSocial_12,TaskSocial_13,TaskSocial_14,TaskSocial_15,pilot1_1,pilot1_2,pilot1_3,pilot2,TaskOpen_1,RobotSelect_1,RobotTune_1_1,RobotTune_1_2,RobotTune_1_3,RobotTune_1_4,RobotTune_1_5,RobotTune_1_6,RobotTune_1_7,RobotTune_1_8,RobotTune_1_9,RobotTune_1_10,RobotTune_1_11,RobotTune_1_12,RobotTune_1_13,RobotTune_1_14,RobotTune_1_15,RobotTune_1_16,RobotTune_1_17,TaskOpen_2,RobotSelect_2,RobotTune_2_1,RobotTune_2_2,RobotTune_2_3,RobotTune_2_4,RobotTune_2_5,RobotTune_2_6,RobotTune_2_7,RobotTune_2_8,RobotTune_2_9,RobotTune_2_10,RobotTune_2_11,RobotTune_2_12,RobotTune_2_13,RobotTune_2_14,RobotTune_2_15,RobotTune_2_16,RobotTune_2_17,TaskOpen_3,RobotSelect_3,RobotTune_3_1,RobotTune_3_2,RobotTune_3_3,RobotTune_3_4,RobotTune_3_5,RobotTune_3_6,RobotTune_3_7,RobotTune_3_8,RobotTune_3_9,RobotTune_3_10,RobotTune_3_11,RobotTune_3_12,RobotTune_3_13,RobotTune_3_14,RobotTune_3_15,RobotTune_3_16,RobotTune_3_17,TaskOpen_4,RobotSelect_4,RobotTune_4_1,RobotTune_4_2,RobotTune_4_3,RobotTune_4_4,RobotTune_4_5,RobotTune_4_6,RobotTune_4_7,RobotTune_4_8,RobotTune_4_9,RobotTune_4_10,RobotTune_4_11,RobotTune_4_12,RobotTune_4_13,RobotTune_4_14,RobotTune_4_15,RobotTune_4_16,RobotTune_4_17,TaskOpen_5,RobotSelect_5,RobotTune_5_1,RobotTune_5_2,RobotTune_5_3,RobotTune_5_4,RobotTune_5_5,RobotTune_5_6,RobotTune_5_7,RobotTune_5_8,RobotTune_5_9,RobotTune_5_10,RobotTune_5_11,RobotTune_5_12,RobotTune_5_13,RobotTune_5_14,RobotTune_5_15,RobotTune_5_16,RobotTune_5_17,TaskOpen_6,RobotSelect_6,RobotTune_6_1,RobotTune_6_2,RobotTune_6_3,RobotTune_6_4,RobotTune_6_5,RobotTune_6_6,RobotTune_6_7,RobotTune_6_8,RobotTune_6_9,RobotTune_6_10,RobotTune_6_11,RobotTune_6_12,RobotTune_6_13,RobotTune_6_14,RobotTune_6_15,RobotTune_6_16,RobotTune_6_17,TaskOpen_7,RobotSelect_7,RobotTune_7_1,RobotTune_7_2,RobotTune_7_3,RobotTune_7_4,RobotTune_7_5,RobotTune_7_6,RobotTune_7_7,RobotTune_7_8,RobotTune_7_9,RobotTune_7_10,RobotTune_7_11,RobotTune_7_12,RobotTune_7_13,RobotTune_7_14,RobotTune_7_15,RobotTune_7_16,RobotTune_7_17,TaskOpen_8,RobotSelect_8,RobotTune_8_1,RobotTune_8_2,RobotTune_8_3,RobotTune_8_4,RobotTune_8_5,RobotTune_8_6,RobotTune_8_7,RobotTune_8_8,RobotTune_8_9,RobotTune_8_10,RobotTune_8_11,RobotTune_8_12,RobotTune_8_13,RobotTune_8_14,RobotTune_8_15,RobotTune_8_16,RobotTune_8_17,TaskOpen_9,RobotSelect_9,RobotTune_9_1,RobotTune_9_2,RobotTune_9_3,RobotTune_9_4,RobotTune_9_5,RobotTune_9_6,RobotTune_9_7,RobotTune_9_8,RobotTune_9_9,RobotTune_9_10,RobotTune_9_11,RobotTune_9_12,RobotTune_9_13,RobotTune_9_14,RobotTune_9_15,RobotTune_9_16,RobotTune_9_17,TaskOpen_10,RobotSelect_10,RobotTune_10_1,RobotTune_10_2,RobotTune_10_3,RobotTune_10_4,RobotTune_10_5,RobotTune_10_6,RobotTune_10_7,RobotTune_10_8,RobotTune_10_9,RobotTune_10_10,RobotTune_10_11,RobotTune_10_12,RobotTune_10_13,RobotTune_10_14,RobotTune_10_15,RobotTune_10_16,RobotTune_10_17,TaskOpen_11,RobotSelect_11,RobotTune_11_1,RobotTune_11_2,RobotTune_11_3,RobotTune_11_4,RobotTune_11_5,RobotTune_11_6,RobotTune_11_7,RobotTune_11_8,RobotTune_11_9,RobotTune_11_10,RobotTune_11_11,RobotTune_11_12,RobotTune_11_13,RobotTune_11_14,RobotTune_11_15,RobotTune_11_16,RobotTune_11_17,TaskOpen_12,RobotSelect_12,RobotTune_12_1,RobotTune_12_2,RobotTune_12_3,RobotTune_12_4,RobotTune_12_5,RobotTune_12_6,RobotTune_12_7,RobotTune_12_8,RobotTune_12_9,RobotTune_12_10,RobotTune_12_11,RobotTune_12_12,RobotTune_12_13,RobotTune_12_14,RobotTune_12_15,RobotTune_12_16,RobotTune_12_17,TaskOpen_13,RobotSelect_13,RobotTune_13_1,RobotTune_13_2,RobotTune_13_3,RobotTune_13_4,RobotTune_13_5,RobotTune_13_6,RobotTune_13_7,RobotTune_13_8,RobotTune_13_9,RobotTune_13_10,RobotTune_13_11,RobotTune_13_12,RobotTune_13_13,RobotTune_13_14,RobotTune_13_15,RobotTune_13_16,RobotTune_13_17,TaskOpen_14,RobotSelect_14,RobotTune_14_1,RobotTune_14_2,RobotTune_14_3,RobotTune_14_4,RobotTune_14_5,RobotTune_14_6,RobotTune_14_7,RobotTune_14_8,RobotTune_14_9,RobotTune_14_10,RobotTune_14_11,RobotTune_14_12,RobotTune_14_13,RobotTune_14_14,RobotTune_14_15,RobotTune_14_16,RobotTune_14_17,TaskOpen_15,RobotSelect_15,RobotTune_15_1,RobotTune_15_2,RobotTune_15_3,RobotTune_15_4,RobotTune_15_5,RobotTune_15_6,RobotTune_15_7,RobotTune_15_8,RobotTune_15_9,RobotTune_15_10,RobotTune_15_11,RobotTune_15_12,RobotTune_15_13,RobotTune_15_14,RobotTune_15_15,RobotTune_15_16,RobotTune_15_17,pilot3_1,pilot3_2,pilot3_3,pilot4,positive_before,positive_after,worried_before,worried_after,purpose,familiarisation_1,familiarisation_2,familiarisation_3,familiarisation_4,familiarisation_5,familiarisation_6
R_2jI21CSMF3HOe7k,62d999e7f5f2cde114f4169e,Installation Engineer,Bott LTD,"I fit units inside the back of vans for different companies such as Sky, BT, Severn Trent",10,10,2,"2,3,7,10,11",,,,,2,3,,,,1,,,5,4,,,,,,20,5,,,,30,,,15,5,,,,,,79,67,,,,95,,,58,71,,,,,,70,41,,,,68,,,79,84,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,"judging how well we have put the van together, if theres any mistakes or anything we think we could do better next time","1,8,10,13,17",30,,,,,,,20,,10,,,20,,,,20,looking at the measurements of different units,"4,8,10,12,16",,,,20,,,,20,,10,,20,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,using a variety of different tools and using different techniques to make the units fit,"9,10,13,14,16",,,,,,,,,10,30,,,20,10,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"talking to people throughout the day, asking what jobs are next","1,5,11,15,17",20,,,,10,,,,,,20,,,,10,,40,"looking at their ability of knowledge, finding time to teach them the different techniques","1,7,9,13,17",10,,,,,,10,,50,,,,20,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,48,76,23,12,looking at different types of memory and how these effect our working environment,1,1,1,1,1,1
R_62SiWSXpegnV7Tp,6685dfeda103c38b81049c33,Electrician ,Ibew ,Journeyman electrician ,8,13,2,"2,5,6,7,9",,,,,1,,,5,4,3,,2,,,,,,,,10,,,40,10,50,,25,,,,,,,,13,,,18,7,100,,15,,,,,,,,37,,,82,100,17,,100,,,,,,,100,100,100,Great,,,,,,,,,,,,,,,,,,,,When I have to make sure the material we use aren’t damaged before we put it up,"6,10,11,13,15",,,,,,5,,,,70,15,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Running the pipe a certain way and using different tools and hardware to get the job done,"7,8,13,14,15",,,,,,,20,35,,,,,15,20,10,,,We make a list of everything we do for today and how we are going to stay safe doing it,"7,8,13,15,17",,,,,,,5,75,,,,,3,,2,,15,Using power tools and hand tools to do the labor part of building,"3,4,6,14,16",,,10,5,,10,,,,,,,,15,,60,,,,,,,,,,,,,,,,,,,,,When another trade has work to do in there area and we have to do work behind them and plan the best route,"6,7,13,14,17",,,,,,18,25,,,,,,17,10,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,94,99,Perfect ,100,67,4,15,Building a robot to do my job,3,3,1,1,1,1
R_3bdZYPRueSfAKWZ,66523ed337ba0ca001f2c21b,Material Handler,MH Eby,I am a material handler for MH Eby. We move materials throughout the manufacturing facility so the different areas can continue working efficiently.,6,6,2,"6,9,10,12,13",Working efficiently,,,,,,,,1,,,3,5,,4,2,,,,,,,,10,,,5,5,,30,45,,,,,,,,3,,,3,3,,5,100,,,,,,,,3,,,100,100,,5,25,,,100,100,100,No feedback at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I plan the best order to do things and organize paperwork accordingly.,"3,7,8,14,16",,,15,,,,30,20,,,,,,10,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I communicate when we are waiting for deliveries, when I need to know where something is moving to and when I need assistance.","1,2,4,5,17",10,10,,5,25,,,,,,,,,,,,50,"For me, this relates to getting to know specific people and knowing their preferences so I can serve them the best way possible.","3,11,14,15,17",,,25,,,,,,,,10,,,10,10,,45,,,,,,,,,,,,,,,,,,,,I document everything I move so that inventory can be kept accurate.,"2,3,5,6,7",,25,15,,15,25,20,,,,,,,,,,,Working efficiently means getting my job done in a way that is accurate and not time consuming.,"3,5,8,16,17",,,10,,15,,,30,,,,,,,,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,80,80,10,10,I would have thought it was about the skills a robot would need to preform my job.,1,1,1,1,1,3
R_7kePVBYcy6aFnpf,6665fb9d3202800c8227cde5,Machine Operator,SRG Global,"My role is to operate and monitor the production of parts for quality assurance and defects. My organization (SRG Global) is a leader in manufacturing car part for big corporate car makers. The field is inclusive of machines operators of mixing the chemicals and materials required to make the parts, making, mixing and applying the paint with the use of automated robotic arms ",3,5,2,"1,2,5,7,12",,,,5,1,,,2,,3,,,,,4,,,,2,40,,,5,,40,,,,,40,,,,0,0,,,0,,50,,,,,0,,,,20,0,,,60,,50,,,,,0,,,,100,100,70,Not applicable,I receive paperwork that documents the parts and quantity needed to fulfill the expected production for the day,"3,5,7,8,11",,,20,,20,,20,20,,,20,,,,,,,When I retrieve the finished product from the machine to inspect it for quality,"1,9,10,11,13",20,,,,,,,,20,30,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For the times when the machine is producing consistent low quality parts or when it is not operating efficiently,"2,3,10,13,17",,20,25,,,,,,,20,,,20,,,,15,,,,,,,,,,,,,,,,,,,,"Feeding materials into the machine for production, retrieving the finished product from the machine and then inspecting the product for quality and defects","2,3,6,8,10",,20,30,,,13,,12,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have to decide and document how much of what materials I used to mix together to get the required product to the proper specifications and finishes with each production run of the machinery,"2,3,5,8,9",,15,25,,30,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,Not applicable,80,50,50,0,What types of skills are required of me to perform day to day tasks at my job ,2,2,1,1,1,1
R_2s4m09uIW4rbWOS,6688fdb39a34a967bc0b7d36,Gardener,Quercus Gardens,My role as a gardener is to both in create and maintain green spaces on the properties I work on. These properties are assigned to me by the companiy I work for multiple sites throughout north London,0,3,2,"5,6,7,10,11",,,,,,,,2,5,1,,,3,4,,,,,,,,,2,2,30,,,4,2,,,,,,,,,65,4,100,,,40,60,,,,,,,,,65,40,20,,,80,90,,,,,90,100,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a team leader im essientially in charge of the properties that I work on. So if any of the tools are working on the day then I must decides ways around getting the job done without using that tool. Additionally if a resident decide that they would like a specific change in their green space, then it would be up to me to go about making that change for them and deciding how to go about it.","3,5,7,8,16",,,40,,20,,10,15,,,,,,,,15,,"When you first get on site, you usually have a quick look round to see what tasks need to be done for the day, and then you can plan the order in which you'll complete them. If you have someone else with you then you'd assigned tasks for him to do as well","1,2,8,10,12",10,20,,,,,,35,,25,,10,,,,,,"As a gardener, you'll be mostly withing with tools or yours hands to maintain the green space that's been assigned to you. This would include mowing, strimming, dhedge cutting, etc.","2,3,5,8,14",,15,40,,10,,,25,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Regularly you'll interact with the residents that live at the sites you work at. The better the relationship is with the residents, the easier it is to do your job. You'll also have to develop a good relationship with the person you are working with as it'll help with tasks that require teamwork.","9,10,11,12,17",,,,,,,,,10,30,15,15,,,,,30,There are several gardening assisstants in the company that are usually assigned to the team leader (usually 1 for each team leader). So you would be tkaing this assisstant to the site you are working at for the day and basically managing them and helping them learn to become a better gardener.,"3,5,10,11,15",,,30,,25,,,,,15,20,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,95,80,,50,65,30,10,It seems the questionnaire was designed to gain insight on how our brains functioned in a working enviroment.,1,1,1,1,1,1
R_85FLZFtrIk6wHfL,65a1466954e9bd63b0e0ce8f,Proprietor,Simply Divine Things,"I am a small business owner of a manufacturing, retailing and wholesaling company. I retail direct to consumer online only, wholesale online to other retailers, and make all the products I sell.",13,13,2,"2,3,4,7,8",,,,,3,5,4,,,1,2,,,,,,,,,1,2,4,,,20,10,,,,,,,,,0,0,40,,,60,0,,,,,,,,,0,0,10,,,0,10,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,"I need to know what quality I expect, based on previously received customer feedback, and previously made products. I then check the product to make sure it matche up with those. If it does not, I make a judgement call as to whether or not it is still passable and would be acepted by a customer.","3,8,10,14,15",,,5,,,,,5,,60,,,,10,20,,,"I have to work out pricing and profit for my products. I use previous knowledge of sales, have to remember how much I pay in taxes and fees, what my postage costs are, what I pay for base materials, and judge how much my time is worth to charge to the customer depending on the item.","2,3,5,7,14",,70,10,,10,,3,,,,,,,7,,,,"I have to use my research skills to see what other people have sold, or not sold previously. I use social media to gain inspiration for my new ideas. If I think it will be viable it goes to prototype. Then I either need to find a guide where someone else has made the product, or I make my own pattern. Making my own involves drawing, and measuring. Then I make a basic prototype, learning if it hasn't worked, how to solve any problems, how to get the product to a saleable quality.","3,5,8,10,11",,,20,,10,,,50,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I use scissors for cutting fabric, rulers and pens for measuring and marking, have to know which tool to select for the job I am doing, I make my own tools like templates. I have to be able sew, and problem solve when a machine doesn't work as it should, I have to know how to perform basic maintenence on the machines. I have to be careful not to injure myself when using things that are sharp or dangerous. ","3,7,9,14,16",,,75,,,,5,,5,,,,,5,,10,,"I use a computer to upload my social media content, make and edit videos and photos, list items for sale and write sales pitches, communicate with customers, produce postage labels, make graphics, design information sheets, write contracts, make invoices, and do my accounting.","2,3,11,14,17",,5,50,,,,,,,,15,,,10,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,100,100,20,80,Whether AI or robotics can replace humans in the workplace.,1,3,1,1,1,3
R_10TQh1WLT0ahTe3,669ee40e62bfea4b66e5ba12,Bakery Clerk ,WinCo Foods,"I work in the bakery at a grocery store preparing food to be baked and packaged the next day, as well as hazmat disposal, cleaning, and quality assurance.  WinCo Foods is a West Coast-based, employee-owned organization.  ",0,15,2,"2,6,7,8,9",,,,,4,,,,2,1,5,3,,,,,,,,16,,,,1,20,1,2,,,,,,,,0,,,,61,100,0,0,,,,,,,,21,,,,81,0,0,100,,,,,,,100,100,100,The questionnaire is very relevant to my job. ,,,,,,,,,,,,,,,,,,,,"I have to inspect the frozen product before tagging and placing it on the floor, assuring the best by dates are honored and that the product has quality to it","1,2,8,12,15",5,10,,,,,,20,,,,5,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planning the next course of action when deciding what and how much product to make ,"2,3,12,13,14",,30,15,,,,,,,,,10,30,15,,,,"I constantly move industrial racks, make product with a mixer and my hands, and use cake decorating techniques and tools.  I also use industrial ovens, mixers and a proofer box. ","3,4,7,10,16",,,10,10,,,10,,,10,,,,,,60,,"Checking emails, using a handheld computer to input product orders, view the schedule and input dates, clocking in and out of my shift","3,8,10,16,17",,,50,,,,,20,,10,,,,,,10,10,"Talking to supervisors and finding out what product needs to be produced, communicating with other departments to coordinate supplies sharing, talking to the pricing department and management for marking product down ","11,12,13,16,17",,,,,,,,,,,10,10,10,,,10,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,Nah this was super entertaining. 10/10,100,100,0,1,How to build a robot to take our jobs.  Great survey. Very unique and fun to go through. ,1,1,1,1,1,1
R_2uq2iLDmgm0OeM9,5810dfccaba80400016f13ea,Guttering fitter,A UK guttering company I don't wish to name specifically,"Working in the construction field, I remove/replace/fix guttering to buildings, in the residential, office and public sector. My company has 16 employees, some who work in the field doing the guttering work, some at the office providing various admin assistance.",33,33,2,"1,2,5,6,7",,,,5,2,,,4,3,1,,,,,,,,,1,2,,,3,2,40,,,,,,,,,0,40,,,30,20,100,,,,,,,,,20,30,,,30,80,95,,,,,,,,,98,100,100,I have nothing further to add at this point in the study.,Both examining paperwork from the client that explains their requirements and making exact measurements of the building so as to make guttering of the correct dimensions,"2,3,8,10,17",,10,10,,,,,5,,25,,,,,,,50,Observing guttering and fascia currently attached to a building to see if it needs repair or replacing,"3,10,11,16,17",,,10,,,,,,,50,15,,,,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often we encounter problems with ladder placement or physically moving guttering into place to attach it to the building,"8,10,15,16,17",,,,,,,,30,,30,,,,,25,10,5,Working out which team members are most suited to the various jobs that are required in that work day,"8,11,14,15,17",,,,,,,,10,,,45,,,30,5,,10,"The vast majority of our time is spent using ladders, hand and power tools to remove and fix guttering to buildings","3,10,11,14,16",,,20,,,,,,,10,25,,,35,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,95,100,"Everything made sense and was easy to follow, so I cannot think of anything in particular that could be improved.",90,70,10,30,How human work practices can be quantified and potentially replaced,2,1,2,1,1,1
R_4cp8OreyCJKL7Pv,5e243c063d2e1b6bcce4c82f,research officer,university,"research scientist, university, medical research",6,17,3,"1,3,6,7,8",,,,4,,1,,,5,2,3,,,,,,,,4,,6,,,6,15,7,,,,,,,,0,,5,,,7,92,7,,,,,,,,60,,32,,,60,62,34,,,,,,,,75,84,51,none,literature review,"2,10,13,14,15",,50,,,,,,,,20,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,analysing results,"2,5,11,13,17",,20,,,20,,,,,,20,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planning experiments,"1,2,3,4,8",10,10,10,10,,,,60,,,,,,,,,,performing experiments,"3,4,6,7,16",,,70,10,,5,5,,,,,,,,,10,,gathering data,"1,2,3,11,14",20,20,20,,,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,61,39,,42,34,49,63,classifying jobs into what types of cognitive abilities are required,2,1,1,1,1,1
R_4tKjKagPKuOyZdD,604a8b5756ac2998fd4ecfcf,Systems Engineer,Suncorp Group,Maintaining and operating network security systems,3,3,3,"1,5,6,8,9",,,,4,,,,2,3,,1,5,,,,,,,7.5,,,,22.75,15,,37.5,7.5,,,,,,,0,,,,0,0,,0,0,,,,,,,10,,,,40,50,,10,90,,,,,,,85,100,20,"My job is not physical, so the physical aspect questions didn't really apply.","Working out the network requirements for a particular application, working out the capabilities of a particular product or platform","2,5,10,16,17",,25,,,20,,,,,25,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Troubleshooting unexplained software and system errors, working out the best way to design a network in order to meet an applications needs","2,5,11,13,14",,20,,,25,,,,,,30,,15,10,,,,"Planning out the steps in which a task needs to be completed, planning which tasks are needed to achieve a certain goal, writing change records for governance and approvals required to complete work","2,5,8,9,17",,25,,,30,,,20,15,,,,,,,,10,,,,,,,,,,,,,,,,,,,,"Logging into network devices and systems, troubleshooting system errors, making changes to network systems","3,8,11,13,14",,,40,,,,,20,,,10,,15,15,,,,"Discussing planned tasks, presenting change records for approval, explaining issues, causes and fixes to others, explaining things to others when troubleshooting as a group","2,10,11,15,17",,15,,,,,,,,15,15,,,,15,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,90,40,"Some of the different facets of my job have tasks that overlap, so the ""robots"" that would be built for those facets need similar skills. Not sure if that was intended",80,80,20,20,What the breakdown of basic mental requirements are for the tasks I complete at work.,1,1,1,1,1,1
R_6SSlbEDFDixQoYV,57aa0bdb9ff3e900014135d9,Operational Training Specialist,Nav Canada,I am involved in training Air Traffic Control which is for Nav Canada in the aviation field.,8,10,3,"1,3,5,8,11",,,,3,,4,,5,,,1,,,2,,,,,5,,10,,5,,,15,,,5,,,,,0,,0,,0,,,6,,,0,,,,,19,,6,,15,,,0,,,93,,,,,91,90,11,none,Have to consult with many people and look at different resources to get actual and current information.,"1,2,5,8,17",10,10,,,10,,,10,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,I am constantly having to figure out headings and altitudes to deconflict air traffic.,"2,5,8,13,15",,10,,,20,,,30,,,,,30,,10,,,,,,,,,,,,,,,,,,,,,,Having to decide on how to create specific scenarios to facilitate training.,"5,8,9,14,15",,,,,5,,,5,10,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Constantly using computers to preform the work at hand, at times 3-4 different operating systems.","2,3,4,5,7",,30,50,5,5,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have to provide simulation to train other controllers and train people within my role.,"3,5,11,14,17",,,40,,10,,,,,,10,,,10,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,70,none,60,31,0,0,What aspects of cognition relate to different tasks within a job role.,2,1,2,1,1,1
R_7lAMsOSGYVCn0Fs,65a363d4ce498ce15c32367c,Intern Programmer,Digital Attractions,I work on developing in-house software and IT solutions. We are primarily a photography company that deals in capture and printing photos in at a mass scale (1000+ people an hour),1,1,3,"1,3,4,5,8",,,,4,,5,3,2,,,1,,,,,,,,15,,2,5,5,,,40,,,,,,,,0,,0,0,0,,,0,,,,,,,,64,,38,84,75,,,60,,,,,,,,100,100,100,Questionnaire is good so far,Researching the newest tech relating to AI and seeing if we can use it,"3,5,8,10,14",,,7,,10,,,20,,3,,,,60,,,,,,,,,,,,,,,,,,,,,,,Observing network data,"2,5,7,12,14",,10,,,30,,15,,,,,15,,30,,,,Trying to stay employed and come up with the next thing that will help the company,"5,8,11,14,15",,,,,20,,,40,,,10,,,20,10,,,Considering how we can make our workflow more streamlined through coding new programs,"5,7,8,11,13",,,,,30,,10,30,,,10,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coding, monitoring locations","2,3,5,7,14",,15,30,,15,,15,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,"Good questionnaire, kinda thought provoking",50,50,32,32,I think the purpose of the questionnaire is to determine a person's perceptions about their job and if parred back to the basic elements of what the job would require.,2,1,1,1,1,1
